Keywords,Company Name,Video Name,Video link,Video id,,watches,Likes
Battery,,Tesla's NEW Cost-Efficient Batteries,https://www.youtube.com/watch?v=lA6FUfaOloo,lA6FUfaOloo,,,
Battery,,Electric Vehicles' Battery Problem,https://www.youtube.com/watch?v=9dnN82DsQ2k,9dnN82DsQ2k,,,
Battery,,This New Battery Tech Will Change Electric Cars,https://www.youtube.com/watch?v=zIeiRe7bIEU,zIeiRe7bIEU,,,
Battery,,The Future of EGO Power Plus - The Battery Engine!,https://www.youtube.com/watch?v=Xld58D3Y2io,Xld58D3Y2io,,,
Electric,,How an Electric Car Works? Its Parts & Functions [Explained],https://www.youtube.com/watch?v=tJfERzrG-D8,tJfERzrG-D8,,,
Electric,,10 Upcoming Hybrid-Electric Cars: the Last Resort for Fuel-Efficient ICE Models,https://www.youtube.com/watch?v=TVuctxeecxo,TVuctxeecxo,,,
Electric,,Ferrari Vs Electric Car - How Much More Efficient Is it REALLY?,https://www.youtube.com/watch?v=yMxmHrKrbtg,yMxmHrKrbtg,,,
Electric,,ICE vs EV Efficiency: How Much More Efficient is an Electric Vehicle than a Fossil Fuel Vehicle?,https://www.youtube.com/watch?v=0n882p3uq6w,0n882p3uq6w,,,
electric vehicle,,Are we ready for a future filled with electric vehicles? We put Singapore to the test,https://www.youtube.com/watch?v=iZD357lMmkE,iZD357lMmkE,,,
Fuel Cell,,Dear My Hero - Hyundai Motor Group Presents Hydrogen Garbage Truck,https://www.youtube.com/watch?v=8835ydOmbOg,8835ydOmbOg,,,
Fuel Cell,,"XCIENT Fuel Cell | ""Birdsville""",https://www.youtube.com/watch?v=CN5YToIQQD4,CN5YToIQQD4,,,
Fuel Cell,,is green hydrogen the answer to the climate crisis? | DW Documentary,https://www.youtube.com/watch?v=4sn0ecqZgog,4sn0ecqZgog,,,
Fuel Cell,,How Do Hydrogen Fuel Cells Work?,https://www.youtube.com/watch?v=R6AdX-bdDaw,R6AdX-bdDaw,,,
Fuel Cell,,The truth about hydrogen fuel cell technology,https://www.youtube.com/watch?v=DTPt32lZY30,DTPt32lZY30,,,
H2 ICE,,Toyota's ALL NEW Hydrogen Engine SHOCKS The Entire Car Industry!,https://www.youtube.com/watch?v=0_6N1hYZiAM,0_6N1hYZiAM,,,
H2 ICE,,Toyota's Developing A Hydrogen Combustion Engine!,https://www.youtube.com/watch?v=3IPR50-soNA,3IPR50-soNA,,,
H2 ICE,,The V8 Engine that Runs on HYDROGEN,https://www.youtube.com/watch?v=Ppuvvr6rcb0,Ppuvvr6rcb0,,,
Hydrogen,,The Unfortunate Truth About Toyota's Hydrogen V8 Engine,https://www.youtube.com/watch?v=vJjKwSF9gT8,vJjKwSF9gT8,,,
Hydrogen,,Hyundai N | N Day 2022,https://www.youtube.com/watch?v=vNxcSahOThI,vNxcSahOThI,,,
Hydrogen,,Major breakthrough on nuclear fusion energy - BBC News,https://www.youtube.com/watch?v=0fYiNVRmOA4,0fYiNVRmOA4,,,
Hydrogen,,FIRST DRIVE: Hyundai N Vision 74 & RN22e | 670bhp Hydrogen Hybrid Drift Car And Electric Streamliner,https://www.youtube.com/watch?v=FCeqP91QUdI,FCeqP91QUdI,,,
Hydrogen,,Here's Why Toyota's New Hydrogen Engine is the Future (Goodbye Tesla),https://www.youtube.com/watch?v=C5Z4_kgT8sI,C5Z4_kgT8sI,,,
Hydrogen,,New Toyota GR Yaris H2 2022 | Hydrogen Engine Sound & Presentaton,https://www.youtube.com/watch?v=YYvjuGF0S7Q,YYvjuGF0S7Q,,,
Hydrogen,,I drove 1800 miles in a Hydrogen Car,https://www.youtube.com/watch?v=hghIckc7nrY,hghIckc7nrY,,,
Hydrogen,,Toyotas ALL NEW Hydrogen Car SHOCKS The Entire Car Industry,https://www.youtube.com/watch?v=HfnJm7WjOcs,HfnJm7WjOcs,,,
Hydrogen,,The NEW Hydrogen BREAKTHROUGH That Is Set To DISRUPT The Energy Industry!!,https://www.youtube.com/watch?v=KNMd0mM4fIs,KNMd0mM4fIs,,,
Powertrain,,Chevy Volt Powertrain Deep Dive | Part 1,https://www.youtube.com/watch?v=an-VyIau-FM,an-VyIau-FM,,,
powertrain system,,"Types of Motors used in EV | Single, Dual, Three & Four Motor Configuration in EV",https://www.youtube.com/watch?v=6H5vtu5_SF4,6H5vtu5_SF4,,,
Powetrain,,The New â‰ˆâ€ KODA SLAVIA - Powertrain Overview,https://www.youtube.com/watch?v=AChTqpuSnv4,AChTqpuSnv4,,,
Powetrain,,The New Range Rover - Powertrains,https://www.youtube.com/watch?v=bU9DysEVTFU,bU9DysEVTFU,,,
Powetrain,,FWD vs RWD vs 4WD vs AWD What's The Difference? Which is Better?,https://www.youtube.com/watch?v=SyD0xtXrRIo,SyD0xtXrRIo,,,
vehicle engine,,"This is a single cylinder F1 engine â€šÃ„Ã¬ 20,000rpm, 300cc, 90bhp!",https://www.youtube.com/watch?v=gZs-R6cfCKc,gZs-R6cfCKc,,,
vehicle engine,,"Never, EVER buy these Engines/Transmissions according to 20+ years CAR WIZARD mechanic experience!",https://www.youtube.com/watch?v=RCvKDr7DYYE,RCvKDr7DYYE,,,
vehicle engine,,Building A 550 HP E63 AMG Engine To Swap Into My C63 Ended In TOTAL Devastation! Iâ€šÃ„Ã´m Not Giving Up!,https://www.youtube.com/watch?v=qndbQO_ryMw,qndbQO_ryMw,,,
vehicle engine,,Elon Musk's INSANE New Engine Shocks The Car Industry!,https://www.youtube.com/watch?v=tumKr0Xepac,tumKr0Xepac,,,
heavy equipment,Anhui Jianghuai Automobile Co. Ltd,JAC T8 Pro,https://www.youtube.com/watch?v=Gr5z_w4TTCM,Gr5z_w4TTCM,18,180000,2593
heavy equipment truck,Ashok Leyland,Ashok Leyland - BS-VI Mid-NOx Technology,https://www.youtube.com/watch?v=YnL3wzmnuH8,YnL3wzmnuH8,5.6,56000,1008
heavy equipment truck,Ashok Leyland,Ashok Leyland | iGen6 Ecomet 1615 - 9 Point Demo,https://www.youtube.com/watch?v=FFoePTsEp9Y,FFoePTsEp9Y,1.9,19000,620
heavy equipment truck engine,Caterpillar,The Legend of the Caterpillar 3406,https://www.youtube.com/watch?v=UHBErW9YYyI,UHBErW9YYyI,9.7,97000,1725
heavy equipment truck engine,Caterpillar,Online Auction Buy - Caterpillar C-10 Diesel Engine - Will it Run or is it Junk?,https://www.youtube.com/watch?v=7uKd7d3JkE0,7uKd7d3JkE0,79,790000,19000
heavy equipment truck engine,Changchun FAW Sihuan Engine Manufacturing Co. Ltd,AW Trucks Production in China - The Largest Truck Manufacturer,https://www.youtube.com/watch?v=xAJirBVanqg,xAJirBVanqg,36,360000,2605
heavy equipment truck engine,Cummins Engine Company,Inside Cummins Mid-Range Engine Plant,https://www.youtube.com/watch?v=V5lxEpMds7k,V5lxEpMds7k,1.4,14000,207
heavy equipment truck engine,Cummins Engine Company,Cummins 2021 Engines for Fire and Emergency,https://www.youtube.com/watch?v=1VFhrcjVD2M,1VFhrcjVD2M,3.7,37000,482
heavy equipment truck engine power,Deere,JD18 Engine Expanded Power | John Deere Engines & Drivetrain,https://www.youtube.com/watch?v=Tf6eZsZHVTg,Tf6eZsZHVTg,2.1,21000,346
heavy equipment truck engine power,Deere,ower Systems | John Deere Engines & Drivetrain,https://www.youtube.com/watch?v=MIlwZWZO0go,MIlwZWZO0go,1.9,19000,204
heavy equipment truck engine power,Deere,owerful & Reliable Electrification Solutions | John Deere Engines & Drivetrain,https://www.youtube.com/watch?v=8qqyY8CPWO0,8qqyY8CPWO0,2,20000,194
heavy equipment truck engine,Deutz AG,The New DT12-HE Transmission: Ultimate Efficiency,https://www.youtube.com/watch?v=6nmzse17hU4,6nmzse17hU4,1.2,12000,211
heavy equipment truck engine,Deutz AG,DD15 Gen 5 Engine: Next Level On-Highway Efficiency,https://www.youtube.com/watch?v=_FosMTsNoJI,_FosMTsNoJI,1.3,13000,219
heavy equipment truck engine,DMAX Ltd.,The Fun Never Ends | Isuzu D-Max Malaysia,https://www.youtube.com/watch?v=KXyQdrDSl5U,KXyQdrDSl5U,108,1080000,122
heavy equipment truck engine,Doosan Infracore Co. Ltd,Doosan DL420A-7M engine in continuous evolution,https://www.youtube.com/watch?v=EmpNNYDpVtw,EmpNNYDpVtw,11,110000,450
heavy equipment truck engine,Doosan Infracore Co. Ltd,Overwhelming Performance of DL420-7M,https://www.youtube.com/watch?v=VvgqefjU50A,VvgqefjU50A,9.5,95000,404
heavy equipment truck engine,Doosan Infracore Co. Ltd,Doosan New DX530LC-7M Walkaround (EN),https://www.youtube.com/watch?v=J-44IR11IeE,J-44IR11IeE,11,110000,479
heavy equipment truck engine,Doosan Infracore Co. Ltd,"Exceptional power combined with highly effective pulling capacity, DL300A",https://www.youtube.com/watch?v=tAhnzugkZv0,tAhnzugkZv0,13,130000,532
heavy equipment truck ,Escorts Ltd.,Escorts Kubota Limited The Journey Ahead,https://www.youtube.com/watch?v=tYnfy9khJWY&t=1s,tYnfy9khJWY&t=1s,22,220000,621
"Electric, Diesel & CNG Van",Force Motors ,"Force Motors' All-New Van | Electric, BS6 Diesel & CNG | Hindi | Motoroids",https://www.youtube.com/watch?v=x0cA0DuDYjc,x0cA0DuDYjc,53.5,535000,8213
heavy equipment truck ,Force Motors ,Force T1N at Auto Expo 2020 | Features & Details | TrucksBuses.com,https://www.youtube.com/watch?v=P5uDNs4gMSA,P5uDNs4gMSA,27.6,276000,3433
heavy equipment truck ,Force Motors ,Force Motors Shaktiman 200 | Load Vehicle | Detailed Review | Specifications | Smoking Wheelz,https://www.youtube.com/watch?v=_WVqjUFvyQU,_WVqjUFvyQU,8,80000,1050
heavy equipment truck,FAW Jiefang Engine,FAW Trucks Production in China - The Largest Truck Manufacturer,https://www.youtube.com/watch?v=xAJirBVanqg,xAJirBVanqg,36.5,365000,2605
Electric Truck,Ford Motors,Ford's Coolest Electric Truck is from 1978!,https://www.youtube.com/watch?v=q72dA533sCg,q72dA533sCg,158,1580000,96000
Electric Truck,Ford Motors,2022 Ford F-150 Lightning Full Review: Electric Truck For the Masses,https://www.youtube.com/watch?v=Bq5EwFRab6Q,Bq5EwFRab6Q,167,1670000,37000
Electric Truck,Ford Motors,Ford vs. GM: Old Rivals Battle for Share of the EV Truck Market | WSJ,https://www.youtube.com/watch?v=8quc8Cj2LVQ,8quc8Cj2LVQ,6.5,65000,1023
Electric Truck,Ford Motors,Electric Ford F100 Eluminator Concept Truck,https://www.youtube.com/watch?v=BQlH2EubBpU,BQlH2EubBpU,14,140000,2104
heavy equipment pickup,Great Wall Motor Co. Ltd,The GWM POER Is The Closest Thing To A Chinese F-150 Youâ€™ll Ever Find,https://www.youtube.com/watch?v=V8i26uBEPYQ,V8i26uBEPYQ,8.9,89000,2763
heavy equipment tank,Great Wall Motor Co. Ltd,GWM Tank 300 2021 Review @carsales.com.au,https://www.youtube.com/watch?v=z4TL1fOuYDI,z4TL1fOuYDI,13.1,131000,1499
heavy equipment truck engine,"Guangxi Cummins Industrial Power Co.,Ltd",Cummins Engine Factory - Production For American Trucks,https://www.youtube.com/watch?v=FNfiEXO47m0,FNfiEXO47m0,116,1160000,9709
heavy equipment truck engine,Hino Motors,Hino Trucks Plant - Production Light and Medium Duty Trucks,https://www.youtube.com/watch?v=MftirlCiDgA,MftirlCiDgA,35.1,351000,2749
Vehicle engine,Honda Motor Company ,Honda Engine Series: Explained,https://www.youtube.com/watch?v=9Xnm9Dquw90,9Xnm9Dquw90,67,670000,9808
heavy equipment truck engine,Hyundai Motor,Hyundai Trucks Production In Korea,https://www.youtube.com/watch?v=NC82Nhk8HF8,NC82Nhk8HF8,15.9,159000,1817
Fuel Cell Truck,Hyundai Motor,Our Vision of a Hydrogen Society | XCIENT Fuel Cell Truck,https://www.youtube.com/watch?v=Zr4-ASTFodU,Zr4-ASTFodU,4.7,47000,550
Hydrogen Garbage Truck,Hyundai Motor,Dear My Hero - Hyundai Motor Group Presents Hydrogen Garbage Truck,https://www.youtube.com/watch?v=8835ydOmbOg,8835ydOmbOg,1908,19080000,2415
heavy equipment truck engine,Isuzu Motors,Isuzu Trucks: E-Series Models Walkthrough | Motor Minutes,https://www.youtube.com/watch?v=HsKhAPBdyZg,HsKhAPBdyZg,47,470000,2368
heavy equipment truck ,Kamaz Inc.,Why Kamaz trucks failed in India,https://www.youtube.com/watch?v=YKEAnpb2lyo,YKEAnpb2lyo,2.8,28000,1394
heavy equipment truck ,Kia Motors,Kia Motors 2Â½ ton Medium Series Truck,https://www.youtube.com/watch?v=xqlgcwu2nEs,xqlgcwu2nEs,1.5,15000,341
heavy equipment tractor engine,Kubota Corporation,Kubota tractor factory - Production of Japanese tractors,https://www.youtube.com/watch?v=dZBm9tapPtY,dZBm9tapPtY,39.6,396000,3188
power,Mahindra & Mahindra Ltd,Tractor manufacturing plant - Production Mahindra & Swaraj tractors,https://www.youtube.com/watch?v=GVc7b6oYuac,GVc7b6oYuac,,1080000,6840
power,Mahindra & Mahindra Ltd,Mahindra 575 power steering and double distributor by Gursewak power steering works Talwandi Bhai,https://www.youtube.com/watch?v=CJKmxugosi4,CJKmxugosi4,,210000,1775
power,Mahindra & Mahindra Ltd,Mahindra Tractor Manufacturing Plant zaheerabad| Make in India|Biggest in Asia,https://www.youtube.com/watch?v=xflG0owe7Pw&t=17s,xflG0owe7Pw&t=17s,,6460000,130000
truck,Mahindra BLAZO - Guaranteed to Win | Ajay Devgn | Call 1800 315 7799 to Know More | Mahindra Truck,Mahindra BLAZO - Guaranteed to Win | Ajay Devgn | Call 1800 315 7799 to Know More | Mahindra Truck,https://www.youtube.com/watch?v=0EqlaQHi2KI,0EqlaQHi2KI,,5150000,3243
truck engine,Maruti Suzuki,BIG MOTORBIKE ENGINE! (in a tiny little van),https://www.youtube.com/watch?v=Wd_-43nhc9k,Wd_-43nhc9k,,125000000,1900000
truck engine,Maruti Suzuki,"2020 Maruti Suzuki Carry Facelift 1.5 Litre, BS-6 Petrol Engine Launch Specifications",https://www.youtube.com/watch?v=1eQLu0dz4Xc,1eQLu0dz4Xc,,56000000,4903
truck engine,Maruti Suzuki,BIG MOTORBIKE ENGINE! (in a tiny little van),https://www.youtube.com/watch?v=Wd_-43nhc9k,Wd_-43nhc9k,,560000,4903
truck engine,Mercedes,Truck Engine PRODUCTION - Mercedes Actros ASSEMBLY,https://www.youtube.com/watch?v=RxeqWaXvNCY,RxeqWaXvNCY,,1020000,5858
hydrogen truck,Mercedes,2021 Mercedes Benz GenH2 Fuel Cell Truck Reveal,https://www.youtube.com/watch?v=ReNat3nBJho,ReNat3nBJho,,41000,663
hydrogen truck,Mercedes,he Hydrogen train is still rolling - Mercedes GenH2,https://www.youtube.com/watch?v=zGej3Q23V2Q,zGej3Q23V2Q,,9199,139
battery truck,Mercedes,"New Mercedes eActros Electric Truck Review, Drive and Brake Test",https://www.youtube.com/watch?v=DjWEAIjlr0w,DjWEAIjlr0w,,110000,4175
battery truck,Mercedes,New Freightliner eCascadia Electric Truck 2021| The Ultimate Electric Truck from Mercedes Daimler,https://www.youtube.com/watch?v=RXtwJ-KtqNk,RXtwJ-KtqNk,,14000,163
battery truck,Mercedes,âš¡MERCEDES ELECTRIC TRUCKâš¡ E-actros - Angelica Larsson,https://www.youtube.com/watch?v=9LPxtNH0UTU,9LPxtNH0UTU,,49000,18000
electric truck,Mercedes,Cassie Drives Mercedes Electric Truck eActros in Germany!,https://www.youtube.com/watch?v=SL4q3HroFF8,SL4q3HroFF8,,28000,1820
electric truck,Mitsubishi Fuso Truck and Bus Corporation,New FUSO eCanter All Electric Truck with 42 Variations!,https://www.youtube.com/watch?v=5NNSc87sluU,5NNSc87sluU,,486,41
electric truck,Mitsubishi Fuso Truck and Bus Corporation,2020 Fuso Super Great - Exterior And Interior - Tokyo Motor Show 2019,https://www.youtube.com/watch?v=Wg77MqoXIpI,Wg77MqoXIpI,,110000,810
electric truck,Mitsubishi Fuso Truck and Bus Corporation,FUSO eCanter 7.5t Electric Truck Review and Test Drive,https://www.youtube.com/watch?v=GcgBYOx45ZA,GcgBYOx45ZA,,863,25
truck,Nissan Motor,Nissanâ€™s pickup trucks built to â€˜Go Anywhereâ€™,https://www.youtube.com/watch?v=pu7aBCCzon4,pu7aBCCzon4,,11000,279
truck,Perkins Engines Company Ltd,Perkins Diesel in a Ford F250,https://www.youtube.com/watch?v=5mrbWSdlCxE,5mrbWSdlCxE,,7291,84
truck,Polaris Industries,All Itâ€™s Got - I Push This New & Affordable Polaris Ranger As Fast As It Will Go!,https://www.youtube.com/watch?v=puqBlsZkEHU,puqBlsZkEHU,,63000,866
engine,Polaris Industries,THE 181HP TURBOCHARGED 925CC RZR ENGINE - SHOP TALK EP. 1 | POLARIS OFF-ROAD VEHICLES,https://www.youtube.com/watch?v=YrFVsTS83DQ,YrFVsTS83DQ,,11000,631
engine,Polaris Industries,Deep Dive Into The ALL-NEW Polaris Pro Star 2.0L 4-cylinder Fury Engine,https://www.youtube.com/watch?v=3Pa6Rez9hYk,3Pa6Rez9hYk,,55000,787
electric,Polaris Industries,ALL-ELECTRIC Polaris Ranger XP Kinetic Detailed UTV Overview,https://www.youtube.com/watch?v=hkltM8goxwo,hkltM8goxwo,,37000,779
electric,Polaris Industries,All-Electric RANGER XP Kinetic | Polaris Off Road Vehicles,https://www.youtube.com/watch?v=c3gOOT3vPJ4,c3gOOT3vPJ4,,160000,1545
electric,Polaris Industries,ALL-NEW ELECTRIC RANGER | Inside Electric Testing Grounds | Episode #2 Optimal Performance | Polaris,https://www.youtube.com/watch?v=82PegLaTB_g,82PegLaTB_g,,83000,493
electric,Polaris Industries,"The Polaris Ranger XP Kinetic is Quick, Electric, and Shockingly Capable!",https://www.youtube.com/watch?v=G--9UytvlUc,G--9UytvlUc,,16000,508
electric,Renault,Renault Trucks New T High 520 Evo & D Z.E. Electric Truck Test Drive,https://www.youtube.com/watch?v=VHG_eB398bE,VHG_eB398bE,,62000,1871
new clean,Renault,New 2022 Renault TCK Evolution revealed - highlights,https://www.youtube.com/watch?v=UWAvf5P3IhY,UWAvf5P3IhY,,49000,472
engine,Scania Power Solutions,The next generation engines for Power Solutions,https://www.youtube.com/watch?v=4LcUQKGfd-8,4LcUQKGfd-8,,9507,306
engine,Scania Power Solutions,What's new in the Scania Super engine,https://www.youtube.com/watch?v=2Gt87YoTHSE,2Gt87YoTHSE,,720000,0
electric,Scania Power Solutions,his 74-tonne Scania electric truck runs 19 hours a day at the mine,https://www.youtube.com/watch?v=Y4bQye8vRCY,Y4bQye8vRCY,,26000,1337
electric,Scania Power Solutions,Electric trucks â€“ how the technology works,https://www.youtube.com/watch?v=mBwvQwzBxjk,mBwvQwzBxjk,,180000,1139
electric,Scania Power Solutions,Scania presents new electric truck for regional operations,https://www.youtube.com/watch?v=rmP3UYZX54U,rmP3UYZX54U,,97000,1442
electric,Scania Power Solutions,What's new in Scania's Hybrid Trucks?,https://www.youtube.com/watch?v=Qbuv_fv8AJs,Qbuv_fv8AJs,,10000,321
battery,Scania Power Solutions,Scania launches electric truck range,https://www.youtube.com/watch?v=zwpYK-z87Wo,zwpYK-z87Wo,,150000,2901
battery,Scania Power Solutions,The world's first electric timber truck in action,https://www.youtube.com/watch?v=b8Z755gDZbw,b8Z755gDZbw,,8202,292
hybrid,Scania Power Solutions,Introducing Scania's hybrid trucks,https://www.youtube.com/watch?v=T8-tahGFC1k,T8-tahGFC1k,,16000,442
powertrain,Scania Power Solutions,Introducing the new Scania Super,https://www.youtube.com/watch?v=hGq4T2P-_xQ,hGq4T2P-_xQ,,97000,1291
truck,Subaru Corporation,2021 Subaru Baja Pickup Truck | 2021 Subaru Baja Arrives With a New Platform and New Engine,https://www.youtube.com/watch?v=GQ1ZMr2ZbTE,GQ1ZMr2ZbTE,,45000,168
hybrid,Suzuki,Strong hybrid systemï½œSuzuki,https://www.youtube.com/watch?v=l5bdxwN5vzE,l5bdxwN5vzE,,27000,383
Engine,Tata Cummins,Tata Cummins 6.7 Lt. BS6 Engine Features Specification | Tata 6700cc BS6 Engines In Auto Expo 2020.,https://www.youtube.com/watch?v=vLxX7MoPtrI&t,vLxX7MoPtrI&t,,,
Battery,Tata Motors,"TATA Motors to soon acquire London's Firm ðŸ”¥ $800 Million, EV Battery Technology",https://www.youtube.com/watch?v=zhUFo05J9u4,zhUFo05J9u4,,,
Battery,Tata Motors,"Tata Nexon EV Battery - Liquid Cooling & Cell Balancing #2: Chat with Anand Kulkarni, Tata Motors",https://www.youtube.com/watch?v=9eS70vH8OB4,9eS70vH8OB4,,,
Battery,Tata Motors,TATA MOTORS 5L TURBOTRONN BS6 ENGINE | HAR BOOND MEIN BACHAT | POWER OF LOWER TCO,https://www.youtube.com/watch?v=som8SI28kKo,som8SI28kKo,,,
Hydrogen,Toyota Motor Corporation,What is Toyota Hybrid System,https://www.youtube.com/watch?v=XFVd_fCiO88,XFVd_fCiO88,,,
Engine,Toyota Motor Corporation,Toyota Engines production in US - Toyota Motor Manufacturing factories,https://www.youtube.com/watch?v=oULcpdL3Tss,oULcpdL3Tss,,,
Engine,Toyota Motor Corporation,Image of a hydrogen engine,https://www.youtube.com/watch?v=O0yM5RlD7Zo,O0yM5RlD7Zo,,,
Battery,Volkswagen AG,2021 Volkswagen ID.4: Battery Teardown,https://www.youtube.com/watch?v=1hPe82cGLOE,1hPe82cGLOE,,,
Electric,Volvo,How do fuel cell electric vehicles work?,https://www.youtube.com/watch?v=Rwy6WozMbt8,Rwy6WozMbt8,,,
Electric,Volvo,Volvo Trucks â€“ Our first-ever fuel cell electric truck,https://www.youtube.com/watch?v=nmzfmn898J0,nmzfmn898J0,,,
Truck,Volvo,Volvo Trucks â€“ Inside the new revolutionary heavy-duty electric driveline,https://www.youtube.com/watch?v=JLS9wFr6xaQ,JLS9wFr6xaQ,,,
Truck,Volvo,Volvo Trucks â€“ Optimizing battery performance in electric trucks,https://www.youtube.com/watch?v=2p87J1txiJY,2p87J1txiJY,,,
Battery,Volvo,Batteries and propulsion,https://www.youtube.com/watch?v=Dq_D8DOl7Jc,Dq_D8DOl7Jc,,,
Truck,Volvo,Which Engine Is Best - Scania vs. Volvo vs. MAN vs. Mercedes,https://www.youtube.com/watch?v=sef_n5ypffo,sef_n5ypffo,,,
Engine,Yamaha Motors,Yamaha will SAVE the V8 by Ditching Gasoline...,https://www.youtube.com/watch?v=I03mF86rejM,I03mF86rejM,,,
Engine,Yamaha Motors,Yamaha Electric Motor for Hyper-EV | Prototype | Developer interview,https://www.youtube.com/watch?v=NHvdnxu0UsI,NHvdnxu0UsI,,,
Engine,Yamaha Motors,CROSSPLANE inline 4 EXPLAINED in detail - How the YAMAHA R1 i4 differs from all other INLINE FOURS,https://www.youtube.com/watch?v=uM-ycHS9uvw,uM-ycHS9uvw,,,